accX[mg]	accY[mg]	accZ[mg]
6	1	1021
1	1	798
-1	1	1015
-2	1	1015
0	0	1016
-2	-2	1017
-1	0	1017
-2	-2	1016
-2	0	1016
-2	0	1016
-2	0	1016
-2	0	1014
-1	1	1016
-2	2	1017
0	0	1016
0	0	1016
-1	0	1017
-2	0	1017
-1	0	1018
-1	1	1016
-2	2	1018
-1	1	1018
-1	0	1018
-2	1	1016
0	0	1019
-2	1	1019
0	0	1018
0	1	1017
0	2	1019
0	2	1019
2	1	1018
0	0	1017
0	1	1020
-1	1	1018
-1	2	1019
-1	3	1017
-1	2	1020
-2	0	1015
0	2	1018
-3	2	1016
0	0	1016
0	1	1017
-2	0	1017
-1	1	1017
-2	0	1017
0	0	1018
0	0	1017
-3	0	1018
-2	-1	1018
-2	-1	1020
-1	0	1021
-1	0	1021
-3	0	1021
-2	0	1019
-2	0	1018
-1	-2	1018
-3	-1	1019
-1	-1	1019
-1	0	1020
-1	-1	1017
0	-2	1019
-1	-1	1016
0	0	1018
0	0	1020
0	0	1018
0	1	1017
0	1	1018
0	0	1019
0	1	1017
0	1	1016
1	4	1019
0	3	1018
0	2	1017
1	5	1016
2	4	1017
1	5	1017
-2	4	1017
0	5	1019
0	4	1018
-1	5	1019
0	8	1019
0	6	1018
0	5	1019
0	5	1019
0	5	1020
1	4	1018
1	4	1020
0	2	1021
-1	3	1018
0	4	1021
-2	3	1022
-1	3	1020
-2	2	1018
-2	2	1020
-2	2	1019
-3	1	1020
-3	1	1020
-3	2	1017
-2	1	1018
-5	0	1019
-3	1	1018
-3	0	1017
-4	-2	1017
-2	-1	1017
0	-1	1017
-2	-2	1017
-2	-3	1017
-1	-1	1017
-3	-4	1020
-1	-2	1017
0	-5	1018
0	-5	1020
0	-6	1018
0	-2	1019
0	-4	1019
0	-5	1020
1	-4	1018
0	-5	1021
1	-4	1021
2	-4	1020
0	-6	1021
0	-5	1020
0	-5	1018
1	-4	1020
0	-3	1019
0	-3	1019
2	-3	1018
0	-2	1019
-1	-1	1018
-1	1	1018
0	-1	1017
0	-1	1020
0	0	1018
-1	0	1018
-2	1	1017
-1	0	1017
0	3	1017
0	2	1017
0	2	1018
0	2	1017
0	3	1017
-3	4	1016
-2	4	1018
-2	5	1018
-2	4	1020
-2	5	1019
-2	6	1019
-3	6	1020
-1	6	1022
-3	8	1020
-3	6	1021
-3	5	1021
-1	4	1022
-2	4	1022
0	6	1020
-1	5	1022
-2	6	1022
-4	6	1020
-3	5	1020
0	5	1020
-3	5	1019
-3	4	1020
-1	3	1019
0	3	1016
0	2	1019
-1	3	1018
0	2	1017
0	1	1016
-2	1	1018
-1	0	1017
0	0	1018
0	0	1018
1	1	1019
0	0	1020
0	0	1019
1	-1	1020
0	-1	1021
-1	-2	1021
0	-2	1020
0	-1	1019
0	-2	1021
0	-1	1021
-1	-3	1021
-2	-3	1020
-1	-1	1020
-1	-2	1019
-1	-3	1019
-1	-3	1020
0	-2	1020
0	-4	1018
0	-3	1018
1	-3	1019
0	-3	1019
-2	-2	1016
0	-3	1016
-1	-1	1016
-1	-1	1017
0	-2	1017
-1	-1	1018
0	-1	1017
0	0	1018
0	-1	1018
-1	-1	1019
0	0	1018
0	0	1020
0	0	1021
-1	0	1020
0	0	1020
0	0	1019
1	2	1021
0	1	1021
1	3	1022
-1	1	1020
-1	2	1022
-2	4	1019
-2	3	1022
0	3	1020
-3	4	1021
0	3	1019
-4	2	1021
-3	3	1017
-2	4	1021
-3	4	1020
-2	3	1019
-3	4	1016
-3	4	1016
0	4	1019
-2	4	1020
-3	3	1020
-3	4	1019
-1	3	1021
-1	5	1020
-2	4	1019
-3	2	1021
-2	2	1020
0	5	1019
-1	3	1019
-1	3	1020
-1	0	1019
-3	2	1019
-1	1	1021
-2	1	1020
-1	1	1019
-1	3	1020
-2	2	1021
0	1	1020
-1	0	1018
-2	1	1020
-1	1	1019
0	0	1018
0	0	1019
0	0	1018
0	-1	1018
0	0	1018
0	-2	1019
0	0	1018
1	-2	1018
1	-2	1019
0	-1	1018
0	-4	1020
0	-3	1019
0	-2	1019
0	-2	1019
0	-1	1020
0	-2	1020
-1	-3	1019
0	-1	1021
1	-1	1022
-1	-2	1023
0	-1	1020
0	-3	1021
-1	-1	1021
-1	-1	1020
-1	-2	1020
-2	-1	1019
-2	0	1021
-1	0	1021
-2	0	1020
-3	0	1018
-1	0	1021
-6	2	1015
-2	9	1025
26	-17	1054
-10	9	1000
-21	-2	986
-3	5	1015
9	-2	1033
3	5	1024
-7	1	1009
-6	2	1014
2	0	1028
1	5	1021
-5	3	1014
-2	6	1018
3	2	1025
-3	6	1019
-3	3	1018
-1	5	1021
0	3	1023
0	5	1020
-4	6	1016
-2	6	1019
0	5	1022
0	4	1021
-2	4	1020
-2	4	1019
0	3	1019
-2	3	1021
-2	4	1021
-1	4	1020
-1	5	1020
-1	3	1018
-3	2	1021
-1	3	1021
-2	1	1021
-1	1	1021
-1	0	1021
-2	2	1019
-2	0	1019
0	0	1019
-3	0	1020
-1	0	1021
-1	0	1021
-2	0	1019
-1	0	1019
-1	-1	1019
0	-2	1020
-2	-2	1021
-2	-2	1018
0	0	1019
0	-1	1021
-2	-1	1021
0	-1	1020
0	-2	1020
0	-3	1020
0	0	1021
0	-2	1021
0	-3	1022
0	-3	1020
0	-2	1021
0	-3	1020
0	-3	1019
0	-2	1020
0	-4	1022
0	-2	1021
0	-2	1019
0	-2	1020
-1	-3	1019
-1	-1	1019
-1	-1	1018
0	0	1018
-1	-1	1019
-1	-2	1019
-1	0	1019
-2	0	1019
-1	-1	1019
0	0	1018
-2	0	1019
-1	2	1018
-3	0	1020
0	0	1020
-1	0	1020
-1	0	1020
-2	2	1021
-1	2	1020
-1	1	1021
-3	2	1024
-2	1	1021
-1	2	1021
-2	2	1020
-2	2	1020
-2	3	1021
-1	3	1021
0	3	1021
0	4	1020
-1	4	1019
-2	3	1019
-1	3	1021
0	2	1021
-1	2	1020
0	3	1019
-2	4	1020
0	2	1019
0	4	1019
-1	2	1019
-1	3	1019
0	2	1019
-2	3	1020
-1	3	1022
0	1	1019
-1	0	1021
0	2	1020
-1	3	1022
0	3	1020
-1	2	1019
-1	2	1021
-2	2	1021
-1	2	1021
0	0	1020
0	1	1020
0	0	1023
-2	0	1020
-2	0	1020
-1	0	1021
-2	0	1022
-1	1	1020
-1	0	1019
0	0	1021
-1	0	1019
-1	0	1019
-1	-1	1019
-1	-1	1021
0	-2	1019
-1	-1	1021
0	-1	1019
0	0	1018
0	0	1020
0	-1	1019
0	0	1019
2	-1	1021
1	-1	1020
1	-2	1019
1	-2	1018
1	-1	1020
1	0	1020
0	-2	1020
1	-1	1020
0	0	1020
2	0	1021
-1	0	1022
-1	0	1020
-2	-1	1021
-1	0	1019
-1	0	1019
-1	0	1021
0	0	1019
-1	0	1020
-1	1	1019
-2	-1	1019
0	0	1020
-1	1	1021
-3	0	1021
-1	1	1019
-2	0	1022
-1	0	1020
-2	2	1022
-2	1	1019
-3	1	1020
-3	0	1019
-2	2	1021
-2	2	1022
-2	0	1021
-2	1	1022
-2	3	1022
-3	3	1019
-3	2	1020
-2	2	1021
-3	3	1022
-1	3	1021
-2	1	1019
-1	2	1020
-1	2	1020
-1	2	1020
0	2	1020
-1	3	1021
0	4	1021
0	3	1020
-3	4	1020
0	2	1020
-1	2	1021
-2	4	1018
-1	2	1020
0	0	1019
-1	1	1019
0	1	1021
0	1	1019
0	0	1021
-2	0	1020
0	0	1020
0	0	1019
-1	1	1020
-1	0	1021
0	0	1021
1	1	1020
0	-1	1022
-1	0	1021
-1	0	1020
0	0	1020
-2	0	1022
-1	0	1021
-2	0	1021
-2	0	1019
-1	-1	1019
-1	0	1019
-1	0	1021
-1	-1	1019
0	0	1021
-1	0	1020
-2	0	1020
-1	0	1019
0	-1	1017
0	-1	1018
-1	0	1019
0	0	1020
0	-1	1019
-1	0	1021
-1	0	1022
-3	0	1021
0	-1	1020
0	1	1022
0	0	1020
0	2	1022
0	1	1019
-1	0	1021
0	0	1021
-1	2	1021
-1	1	1021
-1	0	1021
-1	1	1021
0	4	1021
-2	2	1019
0	2	1021
-2	3	1021
-1	1	1020
-3	3	1020
-1	1	1019
-1	3	1021
-2	1	1020
-3	3	1020
-2	3	1021
-3	2	1021
-2	1	1022
-1	1	1021
-1	0	1021
0	2	1020
-2	1	1021
-2	1	1021
-1	1	1021
-2	1	1021
-1	1	1021
-1	1	1020
-2	1	1020
-1	1	1022
0	0	1020
-1	0	1021
0	2	1021
1	0	1019
-1	0	1021
0	1	1022
-1	1	1019
0	0	1021
0	0	1022
0	0	1020
0	0	1021
-1	-1	1020
-2	-1	1022
-1	0	1021
-2	0	1021
0	-1	1021
0	0	1022
-1	-1	1020
0	-1	1020
0	0	1022
-1	0	1021
0	0	1019
-1	1	1020
0	-1	1019
0	0	1020
-2	0	1020
-1	0	1019
-2	0	1021
-1	0	1020
-1	-2	1020
-2	0	1020
-2	0	1020
1	0	1019
0	-2	1020
0	0	1019
0	0	1020
-1	0	1019
-1	0	1023
-1	0	1020
-1	0	1021
-2	1	1020
0	0	1021
-1	1	1020
1	0	1022
0	0	1020
0	2	1024
0	1	1022
-1	2	1022
-1	1	1022
-2	2	1020
-2	1	1019
0	3	1019
-2	2	1021
-1	1	1021
0	2	1020
0	1	1022
0	4	1020
0	3	1020
-2	3	1018
0	1	1020
-2	1	1019
-1	2	1019
-3	2	1019
-1	2	1021
0	1	1020
-1	2	1021
-1	2	1020
-2	2	1020
-2	2	1020
0	1	1019
-1	4	1022
0	2	1021
-2	0	1021
-2	1	1022
-2	1	1020
-2	0	1021
0	2	1021
0	1	1023
0	0	1020
0	0	1023
-1	1	1019
0	0	1021
-3	1	1019
-1	-1	1021
-1	0	1020
0	0	1020
-1	0	1021
-1	0	1020
0	1	1020
-1	1	1019
0	-1	1020
0	0	1020
-1	-1	1020
-1	0	1021
0	0	1019
0	0	1020
-1	0	1021
-1	1	1022
-1	-1	1022
0	0	1020
0	0	1019
0	0	1022
0	-1	1020
0	0	1021
0	0	1020
0	0	1020
0	-1	1021
0	0	1020
-1	-1	1021
-2	-2	1020
0	0	1021
0	0	1022
0	0	1021
-1	0	1019
-1	0	1021
-3	0	1020
-1	0	1018
-2	0	1021
-2	1	1020
-3	0	1020
-1	1	1021
-2	1	1020
-2	0	1019
-1	1	1021
-1	1	1021
-2	1	1020
-1	0	1020
-1	0	1020
-1	1	1020
-2	0	1021
0	1	1021
-1	2	1021
0	3	1022
-1	2	1022
-1	1	1022
